"","Amblyospiza albifrons","Andropadus importunus","Bradypterus barratti","Bycanistes bucinator","Colius striatus","Cossypha caffra","Cossypha dichroa","Cossypha natalensis","Cyanomitra olivacea","Geokichla gurneyi","Hedydipna collaris","Iduna natalensis","Lybius torquatus","Notopholia corrusca","Onychognathus morio","Oriolus larvatus","Phoeniculus purpureus","Phyllastrephus flavostriatus","Ploceus bicolor","Ploceus cucullatus","Pogoniulus bilineatus","Pogonocichla stellata","Pycnonotus barbatus","Sylvia borin","Tauraco corythaix","Tockus alboterminatus","Treron calvus","Turdus olivaceus","Turtur tympanistria","Zosterops capensis"
"Antidesma venosum",1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
"Bridelia micrantha",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Ficus sur",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1
"Ficus thonningii",0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1
"Maesa lanceolata",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Phoenix reclinata",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
"Protorhus longifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"Rapanea melanophloeos",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Rauvolfia caffra",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
"Searsia chirindensis",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"Searsia rehmanniana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Zanthoxylum davyi",0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
