"","Anthornis melanura","Mohoua albicilla","Nestor meridionalis","Notiomystis cincta","Philesturnus carunculatus","Prosthemadera novaeseelandiae","Turdus merula","Zosterops lateralis"
"Aristotelia serrata",0,0,0,0,0,15,9,23
"Coprosma grandifolia",7,2,0,33,30,60,39,56
"Coprosma robusta",11,5,0,11,7,150,140,153
"Coriaria arborea",0,1,0,0,0,28,4,46
"Elaeocarpus dentatus",0,0,6,0,0,3,13,0
"Fuchsia excorticata",2,0,3,5,0,25,23,5
"Geniostoma rupestre",0,6,0,21,0,0,1,319
"Hedycarya arborea",0,0,11,1,3,0,3,0
"Melicytus ramiflorus",17,24,4,35,11,67,102,209
"Muehlenbeckia australis",2,2,0,1,1,7,6,34
"Myoporum laetum",0,0,0,3,1,76,49,1
"Neopanax arboreus",1,16,2,12,19,20,4,190
"Piper excelsum",0,0,1,4,11,61,18,1
"Pittosporum eugenioides",0,13,0,0,2,4,6,84
"Podocarpus totara",1,1,0,7,0,8,0,12
"Rapanea australis",1,5,3,3,4,55,43,78
"Rhipogonum scandens",0,0,3,1,1,4,6,0
"Schefflera digitata",2,2,0,41,54,4,2,169
