"","Columba palumbus","Cyanistes caeruleus","Ficedula hypoleuca","Fringilla coelebs","Parus major","Parus montanus","Passer domesticus","Phoenicurus ochruros","Phylloscopus collybita","Pica pica","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia curruca","Turdus merula","Turdus philomelos"
"Bryonia cretica subsp. dioica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cornus sanguinea",0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
"Crataegus monogyna",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Elaeagnus rhamnoides",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"Lonicera xylosteum",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"Prunus avium",1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0
"Prunus padus",0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0
"Rhamnus cathartica",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"Rubus vestitus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sambucus nigra",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
"Sorbus aucuparia",0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
"Viburnum lantana",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
