"","Caluromys philander","Didelphis albiventris","Gracilinanus agilis","Gracilinanus microtarsus","Marmosops incanus","Metachirus nudicaudatus","Micoureus paraguayanus"
"Amaioua guianensis",0,1,0,0,0,0,0
"Campomanesia Lessa2013.unidsp.335",2,2,0,0,0,0,0
"Cipocereus minensis",0,0,0,0,1,3,0
"Clidemia urceolata",3,3,21,6,11,6,2
"Cordiera sessilis",2,4,0,0,1,1,3
"Eugenia hyemalis",2,1,0,0,0,0,1
"Fagaceae Lessa2013.unidsp.1",0,1,0,0,0,0,0
"Fagaceae Lessa2013.unidsp.2",0,2,0,0,0,0,0
"Hirtella gracilipes",0,2,0,0,0,0,0
"Miconia holosericea",2,2,2,8,1,1,1
"Miconia Lessa2013.unidsp.448",0,1,2,4,3,0,0
"Miconia pepericarpa",0,0,3,5,2,0,0
"Miconia stenostachya",0,1,2,2,0,0,2
"Myrcia Lessa2013.unidsp.688",5,2,0,0,0,0,1
"Myrtaceae Lessa2013.unidsp.1",0,0,1,2,0,0,0
"Ocotea lancifolia",2,0,0,0,0,0,1
"Phoradendron crassifolium",0,3,7,2,4,0,1
"Psidium Lessa2013.unidsp.713",3,3,0,0,0,0,0
"Psychotria capitata",6,2,8,0,3,4,0
"Psychotria hoffmannseggiana",0,1,0,0,1,1,1
"Smilacaceae Lessa2013.unidsp.1",0,2,0,1,2,1,3
"Smilax Lessa2013.unidsp.538",0,2,0,0,0,0,0
"Tapirira obtusa",1,0,0,0,0,0,2
