"","Amblyospiza albifrons","Andropadus importunus","Chalcomitra senegalensis","Cinnyris chalybeus","Colius striatus","Crithagra flaviventris","Crithagra scotops","Crithagra sulphurata","Cyanomitra olivacea","Cyanomitra veroxii","Hedydipna collaris","Lamprotornis nitens","Lioptilus nigricapillus","Lybius torquatus","Nectarinia famosa","Notopholia corrusca","Ploceus ocularis","Pogoniulus bilineatus","Pycnonotus barbatus","Tockus alboterminatus","Turdus olivaceus","Turtur tympanistria","Zosterops capensis"
"Celtis africana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus ingens",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
"Maesa lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Phoenix reclinata",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
"Protorhus longifolia",0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1
"Psychotria capensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Rapanea melanophloeos",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Searsia chirindensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"Searsia pyroides",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Searsia rehmanniana",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
"Trimeria grandifolia",0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1
