"","Cettia cetti","Cyanistes caeruleus","Cyanopica cooki","Emberiza cia","Erithacus rubecula","Ficedula hypoleuca","Fringilla coelebs","Muscicapa striata","Passer domesticus","Phoenicurus phoenicurus","Phylloscopus bonelli","Phylloscopus trochilus","Sturnus unicolor","Sylvia atricapilla","Sylvia borin","Sylvia cantillans","Sylvia communis","Sylvia melanocephala","Turdus merula"
"Asparagus acutifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bryonia cretica subsp. dioica",0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0
"Daphne gnidium",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,12,0
"Dioscorea communis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ficus carica",0,0,0,0,2,1,0,0,1,0,0,0,0,7,10,0,0,3,3
"Frangula alnus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lonicera implexa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"Lonicera periclymenum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrtus communis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pistacia lentiscus",0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,6,0
"Poaceae Costa2013.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Poaceae Costa2013.unidsp.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Portulaca oleracea",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamnus alaternus",0,0,0,0,3,10,0,0,0,1,0,0,0,3,14,1,3,5,0
"Rubia peregrina",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus ulmifolius",1,14,1,1,20,28,0,1,0,1,1,1,0,16,23,4,10,31,19
"Sambucus nigra",0,0,0,0,0,4,0,0,0,0,0,0,0,7,8,2,0,1,0
"Solanum americanum",0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,2
"Vitis vinifera",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
