"","Aegithalos concinnus","Alcippe brunnea","Alcippe morrisonia","Bambusicola thoracicus","Columba pulchricollis","Dendrocitta formosae","Erpornis zantholeuca","Garrulax poecilorhynchus","Garrulus glandarius","Heterophasia auricularis","Hypsipetes leucocephalus","Liocichla steerii","Lonchura striata","Lophura swinhoii","Megalaima oorti","Oriolus traillii","Pomatorhinus musicus","Sittiparus castaneoventris","Spizixos semitorques","Stachyridopsis ruficeps","Turdus chrysolaus","Turdus obscurus","Turdus pallidus","Urocissa caerulea","Yuhina brunneiceps"
"Actinidia callosa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adinandra formosana",0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Ampelopsis cantoniensis",0,0,4,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,3,0,0,0
"Aralia bipinnata",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Aralia decaisneana",0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ardisia sieboldii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callicarpa formosana",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Callicarpa kochiana",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castanopsis carlesii",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cayratia japonica",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros morrisiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Diplospora dubia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Drymaria cordata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eurya acuminata",0,0,19,0,0,0,0,0,0,0,38,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"Ficus erecta",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glochidion acuminatum",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helicia formosana",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilex ficoidea",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilex formosana",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lagerstroemia subcostata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lasianthus fordii",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Litsea acuminata",0,0,0,0,7,0,0,0,0,5,29,0,0,0,8,0,0,0,0,0,0,1,0,1,0
"Machilus japonica",0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Machilus thunbergii",0,0,0,0,0,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Machilus zuihoensis",0,0,5,0,0,4,0,0,0,0,20,0,0,0,6,1,0,7,0,0,0,0,0,0,0
"Maesa tenera",0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Mallotus japonicus",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"Medinilla fengii",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melastoma malabathricum",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microstegium ciliatum",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Miscanthus floridulus",1,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0
"Mussaenda parviflora",0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrsine seguinii",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oreocnide pedunculata",0,0,26,0,0,0,0,5,0,3,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0
"Persicaria chinensis",0,3,11,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0
"Phoebe formosana",0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0
